bidder_id,prediction
49bb5a3c944b8fc337981cc7a9ccae41u31d7,1.5348675788118271e-06
a921612b85a1494456e74c09393ccb65ylp4y,3.069548984058201e-05
6b601e72a4d264dab9ace9d7b229b47479v6i,0.015156685374677181
eaf0ed0afc9689779417274b4791726cn5udi,3.730938715307275e-06
cdecd8d02ed8c6037e38042c7745f688mx5sf,0.0012342269765213132
d4aed439bdc854a56fc6cc3bdb986775w7hxw,0.00015949133376125246
ed591299b162a19ff77f0479495831b31hl1q,1.6406953591285856e-06
eebdee08b0f67283126ef60307f49680sb9va,0.0026310994289815426
6887f0abc4eb4c79eb0e23c48ceea186vjfih,0.00911181140691042
37eb6e2979e66d4ce29a74ac1c8bc6a5lqs6t,2.2607580831390806e-05
3bdce1c10890630c287cc3f758ae0dc3ddpu8,0.20836971700191498
78fdbeba625c6ee7a1bce379b4263773auglk,3.7425423215609044e-05
65d451d17c6c3cc8bcfad0f4253f307arko5e,1.9819813132926356e-06
5ad0cf9fa41c6ee677e708cd704ba9609qjod,6.949340604478493e-05
b017a5693a93f7e5fcab8e4be495951f5hlp3,3.212511001038365e-05
29606fe1516646d7058c2830d03643705t8hg,9.024584528560808e-07
1c93e9b89cbb10abc6180e3a0e5061fcwugql,3.1291648383557913e-07
de24bbcb87c906b5e385ec715df727dcgj8gs,6.750735792593332e-06
7f6d1b6369786181188848e7903ba72ckc0xv,0.0015664845705032349
2fdc5ca6fd51089afe756ee00e4f7e23le4gq,4.140736200497486e-05
3cda68167e63c7edcb7a618e466f5e82iv4xq,1.583837047292036e-06
40848d51755dda8e1aa23ba52bfb1ab5ewrso,0.0004280725261196494
3e322551a9657e97b345bb965bbab4d8eawre,1.695146494284927e-07
1a1d4e9eba20c58b73fd68c5ab9907081xw9l,0.026549072936177254
5759ce7d1b3dbe6ddf4a1d128e767085yu5iv,0.00021631456911563873
a32715dae5fe9d7f9e29c70e6171a513nal30,9.760526609170483e-07
2fd12c6c9a8c86edf1dc5d3bb6bd11dd9skfc,1.7555583326611668e-05
6c13e796dc0cb45b234234a7117d6fe9ta8qr,1.5344447092502378e-05
9f1e93f86a9d053856f754386fbeacf7bbn0h,7.36563561076764e-06
a597c466ab9757c8b6b3f1da537303ccizhqj,5.829918450217519e-07
